year,comm_code,comm_name,service_name,n
2021,02F,02F,CBS Inspection - Cancellation or Reschedule,1
2021,02F,02F,CBS Inspection - Commercial or Multi-Family,19
2021,02F,02F,CBS Inspection - Electrical,5
2021,02F,02F,CBS Inspection - Heating &amp; Ventilation,1
2021,02F,02F,CBS Inspection - Heating and Ventilation,4
2021,02F,02F,CBS Inspection - Heating & Ventilation,1
2021,02F,02F,CBS - RIM - Property Research,3
2021,02F,02F,CFD - Business Licence Inspection - FHB,2
2021,02F,02F,CFD - Inspection - Life Safety Systems - FHB,2
2021,02F,02F,Corporate - Graffiti Concerns,2
2021,02F,02F,CT - Bus Stops,1
2021,02F,02F,Finance - Credit and Collection Inquiries,5
2021,02F,02F,Law - Risk Management and Claims,1
2021,02F,02F,N/A,27
2021,02F,02F,Parks - Development - Tree Concern - WAM,1
2021,02F,02F,Parks - Garbage - WAM,3
2021,02F,02F,Parks - Infrastructure - WAM,2
2021,02F,02F,Parks - Irrigation Maintenance - WAM,4
2021,02F,02F,Parks - Maintenance - WAM,3
2021,02F,02F,Roads - Boulevard Maintenance,1
2021,02F,02F,Roads - Dead Animal Pick-Up,1
2021,02F,02F,Roads - Debris on Street/Sidewalk/Boulevard,11
2021,02F,02F,Roads - Employee Complaint - Compliment,2
2021,02F,02F,Roads - Pavement Markings - Missing or Faded,4
2021,02F,02F,Roads - Pothole Maintenance,3
2021,02F,02F,Roads - Repaving Candidate Street and Inquiries,1
2021,02F,02F,Roads - Roadway Maintenance,4
2021,02F,02F,Roads - Signs - Missing - Damaged,8
2021,02F,02F,Roads - Signs - Traffic and Roadmarking,6
2021,02F,02F,Roads - Snow and Ice Control,7
2021,02F,02F,Roads - Street Cleaning Annual Program,1
2021,02F,02F,Roads - Streetlight Damage,1
2021,02F,02F,Roads - Traffic Operational Improvement Inquiry,1
2021,02F,02F,Roads - Traffic or Pedestrian Light Repair,9
2021,02F,02F,Roads - Traffic Signal Timing Inquiry,11
2021,02F,02F,Stewardship of City Owned Land,3
2021,02F,02F,TP - Noise Barrier Wall,1
2021,02F,02F,WATR - Erosion and Sediment Control,3
2021,02F,02F,WATS - Manhole Concerns,2
2021,02F,02F,WRS - Compost - Green Cart,1
2021,02F,02F,WRS - Employee - Complaint Compliment,14
2021,02F,02F,WRS - Landfill - Clean Fill,2
2021,02F,02F,WRS - Landfill - Diversion Programs,1
2021,02F,02F,WRS - Landfill - Industrial Permit or Inquiry,8
2021,02F,02F,WRS - Programs,25
2021,02F,02F,WRS - Recycling - Depots,1
2021,02K,02K,Bylaw - Material on Public Property,1
2021,02K,02K,CFD - Incident Report Request,1
2021,02K,02K,CFD - Provincial Accreditation or Licence Inspection - FHB,1
2021,02K,02K,Finance - Property Tax Account Inquiry,1
2021,02K,02K,Roads - Dead Animal Pick-Up,1
2021,02K,02K,Roads - Debris on Street/Sidewalk/Boulevard,1
2021,02K,02K,Roads - Pothole Maintenance,2
2021,02K,02K,Roads - Roadway Maintenance,1
2021,02K,02K,Roads - Signs - Missing - Damaged,1
2021,02K,02K,Roads - Snow and Ice Control,5
2021,02L,02L,Bylaw - Material on Public Property,1
2021,02L,02L,CBS Inspection - Cancellation or Reschedule,3
2021,02L,02L,CBS Inspection - Electrical,7
2021,02L,02L,CBS Inspection - SCP - New Home,1
2021,02L,02L,CFD - Fire Code and General Inquiries - FHB,1
2021,02L,02L,Finance - Property Tax Account Inquiry,3
2021,02L,02L,Roads - Boulevard Maintenance,1
2021,02L,02L,Roads - Dead Animal Pick-Up,1
2021,02L,02L,Roads - Pothole Maintenance,1
2021,02L,02L,Roads - Roadway Maintenance,1
2021,02L,02L,Roads - Signs - Missing - Damaged,2
2021,02L,02L,Roads - Signs - Traffic and Roadmarking,2
2021,02L,02L,Roads - Snow and Ice Control,2
2021,03W,03W,CFD - Inspection - Mobile Food Concession - FHB,1
2021,03W,03W,Finance - Property Tax Account Inquiry,2
2021,03W,03W,Parks - Wildlife Sightings,1
2021,03W,03W,Roads - Dead Animal Pick-Up,1
2021,03W,03W,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,03W,03W,Roads - New Subdivisions,1
2021,03W,03W,Roads - Pothole Maintenance,1
2021,03W,03W,Roads - Roadway Maintenance,8
2021,03W,03W,Roads - Signs - Missing - Damaged,1
2021,03W,03W,Roads - Signs - Traffic and Roadmarking,1
2021,05D,05D,Animal / Bylaw - Information Request,1
2021,05D,05D,AS - Pick Up Stray,1
2021,05D,05D,Bylaw - Noise Concerns,14
2021,05D,05D,CBS - Planning and Development - After Hours SR,1
2021,05D,05D,Finance - Property Tax Account Inquiry,2
2021,05D,05D,Finance - TIPP Agreement Request,1
2021,05D,05D,Roads - Pothole Maintenance,2
2021,05D,05D,Roads - Roadway Maintenance,10
2021,05D,05D,WRS - Commercial Collection Services,2
2021,05E,05E,311 Contact Us,3
2021,05E,05E,Parks - Wildlife Sightings,1
2021,05E,05E,Roads - Dead Animal Pick-Up,1
2021,05E,05E,Roads - Debris on Street/Sidewalk/Boulevard,3
2021,05E,05E,Roads - Detour Inquiry,1
2021,05E,05E,"Roads - NEW Signal, Left Turn or Pedestrian Light Request",2
2021,05E,05E,Roads Permits - Requests and Inquiries,1
2021,05E,05E,Roads - Pothole Maintenance,2
2021,05E,05E,Roads - Roadway Maintenance,6
2021,05E,05E,Roads - Signs - Missing - Damaged,1
2021,05E,05E,Roads - Signs - Traffic and Roadmarking,1
2021,05E,05E,Roads - Streetlight - General Inquiry,1
2021,05E,05E,Roads - Traffic Signal Construction Inquiry,1
2021,05E,05E,Roads - Traffic Signal Timing Inquiry,1
2021,05E,05E,WATR - Water Development Inquiry,1
2021,05F,05F,Bylaw - Disturbance and Behavioural Concerns,1
2021,05F,05F,Bylaw - Material on Public Property,1
2021,05F,05F,Roads - Debris on Street/Sidewalk/Boulevard,2
2021,05F,05F,Roads - Streetlight Maintenance,1
2021,06A,06A,311 Contact Us,5
2021,06A,06A,AS - Animal Bite,1
2021,06A,06A,Bylaw - Material on Public Property,1
2021,06A,06A,Bylaw - Noise Concerns,1
2021,06A,06A,Bylaw - Permit - Noise Exemption,2
2021,06A,06A,Bylaw - Vehicle Concerns,1
2021,06A,06A,CBS - RIM - Property Research,1
2021,06A,06A,CFD - Fire Code and General Inquiries - FHB,1
2021,06A,06A,CN - Subsidized Programs - Fair Entry,1
2021,06A,06A,Finance - ONLINE Property Tax Document Request,1
2021,06A,06A,Finance - ONLINE TIPP Agreement Request,1
2021,06A,06A,Finance - Property Tax Account Inquiry,1
2021,06A,06A,Law - Risk Management and Claims,1
2021,06A,06A,N/A,1
2021,06A,06A,Parks - Development - Tree Concern - WAM,1
2021,06A,06A,Parks - Wildlife Management,1
2021,06A,06A,Parks - Wildlife Sightings,2
2021,06A,06A,REDS - Property Leasing and Sales Inquiry,1
2021,06A,06A,Roads - Dead Animal Pick-Up,3
2021,06A,06A,Roads - Debris on Street/Sidewalk/Boulevard,4
2021,06A,06A,Roads - Detour Inquiry,3
2021,06A,06A,Roads Permits - Requests and Inquiries,1
2021,06A,06A,Roads - Pothole Maintenance,6
2021,06A,06A,Roads - Roadway Maintenance,3
2021,06A,06A,Roads - Signs - Missing - Damaged,2
2021,06A,06A,Roads - Snow and Ice Control,1
2021,06A,06A,Roads - Street Cleaning Annual Program,1
2021,06A,06A,Roads - Traffic or Pedestrian Light Repair,1
2021,06A,06A,Roads - Traffic Signal Timing Inquiry,1
2021,06A,06A,TI - Connections to South West Ring Road,10
2021,06A,06A,TP - Future Road Planning and Upgrades,1
